analysis	signature_acc	signature_desc	hit_rows	unique_proteins
PANTHER	PTHR11474	TYROSINASE FAMILY MEMBER	20	20
PANTHER	PTHR47052	CONSERVED SERINE PROLINE-RICH PROTEIN (AFU_ORTHOLOGUE AFUA_2G01790)	20	20
Pfam	PF00075	RNase H	20	20
Pfam	PF00171	Aldehyde dehydrogenase family	20	20
Pfam	PF01423	LSM domain	20	20
Pfam	PF01926	50S ribosome-binding GTPase	20	20
ProSiteProfiles	PS50056	Tyrosine specific protein phosphatases domain profile.	20	20
ProSiteProfiles	PS50097	BTB domain profile.	20	20
ProSiteProfiles	PS50110	Response regulatory domain profile.	20	20
ProSiteProfiles	PS51456	Myosin motor domain profile.	20	20
SUPERFAMILY	SSF48592	GroEL equatorial domain-like	20	20
Pfam	PF00571	CBS domain	29	19
Gene3D	G3DSA:1.10.418.10		27	19
Pfam	PF00083	Sugar (and other) transporter	24	19
Pfam	PF00211	Adenylate and Guanylate cyclase catalytic domain	22	19
CDD	cd00174	SH3	21	19
Gene3D	G3DSA:3.40.50.1010		21	19
ProSiteProfiles	PS50206	Rhodanese domain profile.	21	19
SUPERFAMILY	SSF52777	CoA-dependent acyltransferases	21	19
Gene3D	G3DSA:3.20.180.20		20	19
Gene3D	G3DSA:3.30.360.10	Dihydrodipicolinate Reductase; domain 2	20	19
Pfam	PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	20	19
Pfam	PF12777	Microtubule-binding stalk of dynein motor	20	19
Gene3D	G3DSA:1.10.150.20		19	19
Gene3D	G3DSA:1.20.5.110		19	19
Gene3D	G3DSA:3.40.50.1460		19	19
PANTHER	PTHR11575	5'-NUCLEOTIDASE-RELATED	19	19
PANTHER	PTHR24305	CYTOCHROME P450	19	19
Pfam	PF00621	RhoGEF domain	19	19
Pfam	PF03031	NLI interacting factor-like phosphatase	19	19
Pfam	PF03372	Endonuclease/Exonuclease/phosphatase family	19	19
Pfam	PF25474	TmcB, TPR repeats	19	19
ProSiteProfiles	PS50072	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain profile.	19	19
ProSiteProfiles	PS50237	HECT domain profile.	19	19
ProSiteProfiles	PS50404	Soluble glutathione S-transferase N-terminal domain profile.	19	19
SUPERFAMILY	SSF109604	HD-domain/PDEase-like	19	19
SUPERFAMILY	SSF52490	Tubulin nucleotide-binding domain-like	19	19
SUPERFAMILY	SSF56204	Hect, E3 ligase catalytic domain	19	19
Gene3D	G3DSA:3.10.580.10		26	18
Gene3D	G3DSA:3.40.20.10	Severin	25	18
CDD	cd07302	CHD	23	18
Gene3D	G3DSA:1.20.120.350		22	18
Gene3D	G3DSA:2.40.50.40		22	18
ProSiteProfiles	PS50013	Chromo and chromo shadow domain profile.	22	18
Gene3D	G3DSA:1.50.10.10		20	18
Gene3D	G3DSA:3.30.50.10		20	18
Gene3D	G3DSA:3.60.21.70		20	18
CDD	cd03263	ABC_subfamily_A	19	18
Pfam	PF13855	Leucine rich repeat	19	18
Gene3D	G3DSA:1.10.8.710		18	18
Gene3D	G3DSA:1.20.140.100		18	18
Gene3D	G3DSA:1.20.58.1120		18	18
Gene3D	G3DSA:2.60.40.790		18	18
Gene3D	G3DSA:3.40.605.10	Aldehyde Dehydrogenase; Chain A, domain 1	18	18
Gene3D	G3DSA:3.40.720.10	Alkaline Phosphatase, subunit A	18	18
Gene3D	G3DSA:3.90.180.10		18	18
PANTHER	PTHR20856	DNA-DIRECTED RNA POLYMERASE I SUBUNIT 2	18	18
PANTHER	PTHR24031	RNA HELICASE	18	18
PANTHER	PTHR38795	DUF6604 DOMAIN-CONTAINING PROTEIN	18	18
Pfam	PF00561	alpha/beta hydrolase fold	18	18
Pfam	PF08385	Dynein heavy chain, N-terminal region 1	18	18
Pfam	PF12775	P-loop containing dynein motor region	18	18
Pfam	PF12780	P-loop containing dynein motor region D4	18	18
ProSiteProfiles	PS50158	Zinc finger CCHC-type profile.	18	18
ProSiteProfiles	PS50188	B30.2/SPRY domain profile.	18	18
ProSiteProfiles	PS50255	Cytochrome b5 family, heme-binding domain profile.	18	18
ProSiteProfiles	PS50975	ATP-grasp fold profile.	18	18
SMART	SM00831	Cation_ATPase_N_a_2	18	18
SUPERFAMILY	SSF50129	GroES-like	18	18
SUPERFAMILY	SSF50998	Quinoprotein alcohol dehydrogenase-like	18	18
SUPERFAMILY	SSF51182	RmlC-like cupins	18	18
SUPERFAMILY	SSF52029	GroEL apical domain-like	18	18
SUPERFAMILY	SSF53649	Alkaline phosphatase-like	18	18
SUPERFAMILY	SSF82171	DPP6 N-terminal domain-like	18	18
Pfam	PF13516	Leucine Rich repeat	46	17
ProSiteProfiles	PS50077	HEAT repeat profile.	28	17
Gene3D	G3DSA:3.40.50.1100		27	17
SMART	SM00165	uba_6	24	17
Pfam	PF00023	Ankyrin repeat	21	17
Gene3D	G3DSA:3.90.25.10		19	17
ProSitePatterns	PS00061	Short-chain dehydrogenases/reductases family signature.	19	17
Gene3D	G3DSA:1.10.8.720	Region D6 of dynein motor	18	17
Gene3D	G3DSA:1.20.1270.280		18	17
Gene3D	G3DSA:3.10.490.20		18	17
Pfam	PF00240	Ubiquitin family	18	17
Pfam	PF00583	Acetyltransferase (GNAT) family	18	17
Pfam	PF18198	Dynein heavy chain AAA lid domain	18	17
SMART	SM01117	Cyt_b5_2	18	17
SUPERFAMILY	SSF81296	E set domains	18	17
CDD	cd03250	ABCC_MRP_domain1	17	17
CDD	cd06223	PRTases_typeI	17	17
CDD	cd12148	fungal_TF_MHR	17	17
CDD	cd17546	REC_hyHK_CKI1_RcsC-like	17	17
Gene3D	G3DSA:1.10.555.10	Rho GTPase activation protein	17	17
Gene3D	G3DSA:1.20.1070.10		17	17
Gene3D	G3DSA:2.60.40.1730	tricorn interacting facor f3 domain	17	17
Gene3D	G3DSA:3.40.309.10	Aldehyde Dehydrogenase; Chain A, domain 2	17	17
Gene3D	G3DSA:3.50.7.10	GroEL	17	17
Gene3D	G3DSA:6.10.140.2220		17	17
PANTHER	PTHR43294	SODIUM/POTASSIUM-TRANSPORTING ATPASE SUBUNIT ALPHA	17	17
PANTHER	PTHR45626	TRANSCRIPTION TERMINATION FACTOR 2-RELATED	17	17
PANTHER	PTHR45630	CATION-TRANSPORTING ATPASE-RELATED	17	17
Pfam	PF00025	ADP-ribosylation factor family	17	17
Pfam	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	17	17
Pfam	PF00689	Cation transporting ATPase, C-terminus	17	17
Pfam	PF02770	Acyl-CoA dehydrogenase, middle domain	17	17
Pfam	PF03357	Snf7	17	17
ProSitePatterns	PS00972	Ubiquitin specific protease (USP) domain signature 1.	17	17
ProSiteProfiles	PS50249	MPN domain profile.	17	17
ProSiteProfiles	PS51285	AGC-kinase C-terminal domain profile.	17	17
SUPERFAMILY	SSF49764	HSP20-like chaperones	17	17
SUPERFAMILY	SSF49879	SMAD/FHA domain	17	17
SUPERFAMILY	SSF51556	Metallo-dependent hydrolases	17	17
SUPERFAMILY	SSF53686	Tryptophan synthase beta subunit-like PLP-dependent enzymes	17	17
PRINTS	PR00153	Cyclophilin peptidyl-prolyl cis-trans isomerase signature	72	16
PRINTS	PR00368	FAD-dependent pyridine nucleotide reductase signature	56	16
ProSiteProfiles	PS50096	IQ motif profile.	35	16
Gene3D	G3DSA:1.20.1280.290		26	16
Pfam	PF00022	Actin	21	16
Pfam	PF00385	Chromo (CHRromatin Organisation MOdifier) domain	20	16
SMART	SM00298	chromo_7	20	16
NCBIfam	TIGR00728	OPT family oligopeptide transporter	19	16
Pfam	PF00246	Zinc carboxypeptidase	19	16
Gene3D	G3DSA:3.40.250.10		18	16
Gene3D	G3DSA:1.10.30.10	High mobility group box domain	17	16
Gene3D	G3DSA:1.10.540.10		17	16
Gene3D	G3DSA:3.30.450.60		17	16
Gene3D	G3DSA:3.40.50.880		17	16
Pfam	PF00632	HECT-domain (ubiquitin-transferase)	17	16
Pfam	PF01602	Adaptin N terminal region	17	16
ProSiteProfiles	PS50290	Phosphatidylinositol 3- and 4-kinases catalytic domain profile.	17	16
SUPERFAMILY	SSF47095	HMG-box	17	16
SUPERFAMILY	SSF48179	6-phosphogluconate dehydrogenase C-terminal domain-like	17	16
SUPERFAMILY	SSF48557	L-aspartase-like	17	16
SUPERFAMILY	SSF50494	Trypsin-like serine proteases	17	16
SUPERFAMILY	SSF53254	Phosphoglycerate mutase-like	17	16
CDD	cd00009	AAA	16	16
Gene3D	G3DSA:1.20.920.30		16	16
Gene3D	G3DSA:2.60.120.260		16	16
Gene3D	G3DSA:2.60.200.20		16	16
Gene3D	G3DSA:3.20.20.370	Glycoside hydrolase/deacetylase	16	16
Gene3D	G3DSA:3.90.780.10		16	16
PANTHER	PTHR10811	FRINGE-RELATED	16	16
PANTHER	PTHR11705	PROTEASE FAMILY M14 CARBOXYPEPTIDASE A,B	16	16
PANTHER	PTHR11972	NADPH OXIDASE	16	16
PANTHER	PTHR23077	AAA-FAMILY ATPASE	16	16
PANTHER	PTHR24056	CELL DIVISION PROTEIN KINASE	16	16
PANTHER	PTHR24092	PROBABLE PHOSPHOLIPID-TRANSPORTING ATPASE	16	16
PANTHER	PTHR45624	MITOCHONDRIAL BASIC AMINO ACIDS TRANSPORTER-RELATED	16	16
Pfam	PF00072	Response regulator receiver domain	16	16
Pfam	PF00582	Universal stress protein family	16	16
Pfam	PF00622	SPRY domain	16	16
Pfam	PF01398	JAB1/Mov34/MPN/PAD-1 ubiquitin protease	16	16
Pfam	PF02872	5'-nucleotidase, C-terminal domain	16	16
Pfam	PF07173	Glycine-rich domain-containing protein-like	16	16
Pfam	PF08240	Alcohol dehydrogenase GroES-like domain	16	16
Pfam	PF13639	Ring finger domain	16	16
ProSiteProfiles	PS50006	Forkhead-associated (FHA) domain profile.	16	16
ProSiteProfiles	PS50238	Rho GTPase-activating proteins domain profile.	16	16
ProSiteProfiles	PS50250	PCI domain profile.	16	16
ProSiteProfiles	PS50878	Reverse transcriptase (RT) catalytic domain profile.	16	16
ProSiteProfiles	PS52002	Sm domain profile.	16	16
ProSiteProfiles	PS52035	Peptidase family M14 domain profile.	16	16
SMART	SM00651	Sm3	16	16
SUPERFAMILY	SSF48097	Regulator of G-protein signaling, RGS	16	16
SUPERFAMILY	SSF48366	Ras GEF	16	16
SUPERFAMILY	SSF52317	Class I glutamine amidotransferase-like	16	16
SUPERFAMILY	SSF52440	PreATP-grasp domain	16	16
SUPERFAMILY	SSF55120	Pseudouridine synthase	16	16
SUPERFAMILY	SSF55307	Tubulin C-terminal domain-like	16	16
SUPERFAMILY	SSF55816	5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain	16	16
SUPERFAMILY	SSF58038	SNARE fusion complex	16	16
SUPERFAMILY	SSF63737	Leukotriene A4 hydrolase N-terminal domain	16	16
SMART	SM00368	LRR_RI_2	81	15
PRINTS	PR01161	Tubulin signature	78	15
PRINTS	PR00114	Serine/threonine phosphatase family signature	75	15
SMART	SM00386	hat_new_1	69	15
SMART	SM00116	cbs_1	35	15
Pfam	PF00560	Leucine Rich Repeat	26	15
ProSiteProfiles	PS50084	Type-1 KH domain profile.	26	15
Gene3D	G3DSA:3.40.50.12660		20	15
Gene3D	G3DSA:3.40.50.1240		18	15
Gene3D	G3DSA:3.40.1190.20		17	15
Gene3D	G3DSA:3.40.33.10	CAP	17	15
Gene3D	G3DSA:3.60.40.10		17	15
Pfam	PF00085	Thioredoxin	17	15
Pfam	PF00188	Cysteine-rich secretory protein family	17	15
SUPERFAMILY	SSF52821	Rhodanese/Cell cycle control phosphatase	17	15
SUPERFAMILY	SSF55797	PR-1-like	17	15
Gene3D	G3DSA:3.40.718.10	Isopropylmalate Dehydrogenase	16	15
Gene3D	G3DSA:6.10.140.1060		16	15
Pfam	PF03028	Dynein heavy chain region D6 P-loop domain	16	15
SUPERFAMILY	SSF52151	FabD/lysophospholipase-like	16	15
SUPERFAMILY	SSF53659	Isocitrate/Isopropylmalate dehydrogenase-like	16	15
SUPERFAMILY	SSF88697	PUA domain-like	16	15
FunFam	G3DSA:3.40.50.300:FF:002141	Dynein heavy chain	15	15
Gene3D	G3DSA:1.10.167.10		15	15
Gene3D	G3DSA:1.10.287.2620		15	15
Gene3D	G3DSA:1.20.1280.50		15	15
Gene3D	G3DSA:3.30.1520.10		15	15
Gene3D	G3DSA:3.90.79.10	Nucleoside Triphosphate Pyrophosphohydrolase	15	15
PANTHER	PTHR11533	PROTEASE M1 ZINC METALLOPROTEASE	15	15
PANTHER	PTHR11937	ACTIN	15	15
PANTHER	PTHR13140	MYOSIN	15	15
PANTHER	PTHR24351	RIBOSOMAL PROTEIN S6 KINASE	15	15
PANTHER	PTHR31600	TINY MACROCYSTS PROTEIN B-RELATED	15	15
PANTHER	PTHR42861	CALCIUM-TRANSPORTING ATPASE	15	15
PANTHER	PTHR45638	CYCLIC NUCLEOTIDE-GATED CATION CHANNEL SUBUNIT A	15	15
PANTHER	PTHR46532	MALE FERTILITY FACTOR KL5	15	15
Pfam	PF00091	Tubulin/FtsZ family, GTPase domain	15	15
Pfam	PF00097	Zinc finger, C3HC4 type (RING finger)	15	15
Pfam	PF00175	Oxidoreductase NAD-binding domain	15	15
Pfam	PF00498	FHA domain	15	15
Pfam	PF00620	RhoGAP domain	15	15
Pfam	PF05193	Peptidase M16 inactive domain	15	15
Pfam	PF08030	Ferric reductase NAD binding domain	15	15
Pfam	PF12698	ABC-2 family transporter protein	15	15
Pfam	PF17852	Dynein heavy chain AAA lid domain	15	15
ProSitePatterns	PS00383	Tyrosine specific protein phosphatases active site.	15	15
ProSiteProfiles	PS50969	FCP1 homology domain profile.	15	15
ProSiteProfiles	PS51471	Fe(2+) 2-oxoglutarate dioxygenase domain profile.	15	15
SMART	SM00164	tbc_4	15	15
SMART	SM00324	RhoGAP_3	15	15
SUPERFAMILY	SSF100950	NagB/RpiA/CoA transferase-like	15	15
SUPERFAMILY	SSF47576	Calponin-homology domain, CH-domain	15	15
SUPERFAMILY	SSF49785	Galactose-binding domain-like	15	15
SUPERFAMILY	SSF52954	Class II aaRS ABD-related	15	15
SUPERFAMILY	SSF53613	Ribokinase-like	15	15
SUPERFAMILY	SSF57959	Leucine zipper domain	15	15
SUPERFAMILY	SSF64268	PX domain	15	15
SUPERFAMILY	SSF81301	Nucleotidyltransferase	15	15
SUPERFAMILY	SSF81606	PP2C-like	15	15
PRINTS	PR01607	Apyrase family signature	71	14
PRINTS	PR00092	Tyrosinase copper-binding domain signature	50	14
PRINTS	PR01438	Universal stress protein signature	37	14
SMART	SM00322	kh_6	30	14
Pfam	PF13432	Tetratricopeptide repeat	27	14
Gene3D	G3DSA:1.20.920.10		26	14
SUPERFAMILY	SSF47370	Bromodomain	26	14
SMART	SM00292	BRCT_7	22	14
Pfam	PF00454	Phosphatidylinositol 3- and 4-kinase	17	14
SMART	SM00044	cyc_6	17	14
Gene3D	G3DSA:1.10.1300.10		16	14
ProSiteProfiles	PS50114	GATA-type zinc finger domain profile.	16	14
Gene3D	G3DSA:1.10.840.10		15	14
Gene3D	G3DSA:2.30.30.30		15	14
Pfam	PF00233	3'5'-cyclic nucleotide phosphodiesterase	15	14
SUPERFAMILY	SSF51246	Rudiment single hybrid motif	15	14
CDD	cd18579	ABC_6TM_ABCC_D1	14	14
FunFam	G3DSA:1.20.1560.10:FF:000013	ABC transporter C family member 2	14	14
Gene3D	G3DSA:1.10.472.130		14	14
Gene3D	G3DSA:1.10.8.270	putative rabgap domain of human tbc1 domain family member 14 like domains	14	14
Gene3D	G3DSA:1.20.200.10	Fumarase/aspartase (Central domain)	14	14
Gene3D	G3DSA:3.10.20.30		14	14
Gene3D	G3DSA:3.30.1330.30		14	14
Gene3D	G3DSA:3.40.390.10	Collagenase (Catalytic Domain)	14	14
PANTHER	PTHR10663	GUANYL-NUCLEOTIDE EXCHANGE FACTOR	14	14
PANTHER	PTHR11347	CYCLIC NUCLEOTIDE PHOSPHODIESTERASE	14	14
PANTHER	PTHR11630	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	14	14
PANTHER	PTHR11804	PROTEASE M3 THIMET OLIGOPEPTIDASE-RELATED	14	14
PANTHER	PTHR14614	HEPATOCELLULAR CARCINOMA-ASSOCIATED ANTIGEN	14	14
PANTHER	PTHR24060	METABOTROPIC GLUTAMATE RECEPTOR	14	14
PANTHER	PTHR31964	ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE SUPERFAMILY PROTEIN	14	14
PANTHER	PTHR48012	STERILE20-LIKE KINASE, ISOFORM B-RELATED	14	14
Pfam	PF00108	Thiolase, N-terminal domain	14	14
Pfam	PF00180	Isocitrate/isopropylmalate dehydrogenase	14	14
Pfam	PF00487	Fatty acid desaturase	14	14
Pfam	PF00493	MCM P-loop domain	14	14
Pfam	PF00581	Rhodanese-like domain	14	14
Pfam	PF00899	ThiF family	14	14
Pfam	PF00970	Oxidoreductase FAD-binding domain	14	14
Pfam	PF01370	NAD dependent epimerase/dehydratase family	14	14
Pfam	PF02225	PA domain	14	14
Pfam	PF02786	Carbamoyl-phosphate synthase L chain, ATP binding domain	14	14
Pfam	PF04082	Fungal specific transcription factor domain	14	14
Pfam	PF17857	AAA+ lid domain	14	14
Pfam	PF17900	Peptidase M1 N-terminal domain	14	14
ProSitePatterns	PS00178	Aminoacyl-transfer RNA synthetases class-I signature.	14	14
ProSiteProfiles	PS51184	JmjC domain profile.	14	14
ProSiteProfiles	PS51417	small GTPase Arf family profile.	14	14
ProSiteProfiles	PS51845	3'5'-cyclic nucleotide phosphodiesterase domain profile.	14	14
SFLD	SFLDS00019	Glutathione Transferase (cytosolic)	14	14
SMART	SM00176	ran_sub_2	14	14
SMART	SM00448	REC_2	14	14
SMART	SM00449	SPRY_3	14	14
SMART	SM00631	zn_carb	14	14
SUPERFAMILY	SSF102114	Radical SAM enzymes	14	14
SUPERFAMILY	SSF46579	Prefoldin	14	14
SUPERFAMILY	SSF50104	Translation proteins SH3-like domain	14	14
SUPERFAMILY	SSF52467	DHS-like NAD/FAD-binding domain	14	14
SUPERFAMILY	SSF53732	Aconitase iron-sulfur domain	14	14
SUPERFAMILY	SSF55811	Nudix	14	14
SUPERFAMILY	SSF57756	Retrovirus zinc finger-like domains	14	14
SUPERFAMILY	SSF88713	Glycoside hydrolase/deacetylase	14	14
SUPERFAMILY	SSF88723	PIN domain-like	14	14
SMART	SM00364	LRR_bac_2	59	13
PRINTS	PR00387	3'5'-cyclic nucleotide phosphodiesterase signature	50	13
SMART	SM00367	LRR_CC_2	47	13
PRINTS	PR00304	Tailless complex polypeptide 1 (chaperone) signature	43	13
ProSitePatterns	PS01358	Zinc finger RanBP2-type signature.	33	13
ProSiteProfiles	PS50199	Zinc finger RanBP2 type profile.	33	13
Gene3D	G3DSA:4.10.1060.10		31	13
SMART	SM00356	c3hfinal6	26	13
Pfam	PF00439	Bromodomain	25	13
ProSiteProfiles	PS50014	Bromodomain profile.	25	13
SMART	SM00717	sant	23	13
SUPERFAMILY	SSF55753	Actin depolymerizing proteins	22	13
CDD	cd00167	SANT	19	13
Gene3D	G3DSA:3.30.499.10	Aconitase, domain 3	18	13
Gene3D	G3DSA:2.40.10.10		17	13
Gene3D	G3DSA:2.60.40.640		17	13
Gene3D	G3DSA:3.50.50.100		16	13
Pfam	PF01369	Sec7 domain	15	13
SMART	SM00401	GATA_3	15	13
SUPERFAMILY	SSF48425	Sec7 domain	15	13
SUPERFAMILY	SSF48576	Terpenoid synthases	15	13
Gene3D	G3DSA:1.10.1070.11		14	13
Gene3D	G3DSA:1.10.8.1220		14	13
Gene3D	G3DSA:1.20.120.1630		14	13
Pfam	PF00169	PH domain	14	13
Pfam	PF00330	Aconitase family (aconitate hydratase)	14	13
Pfam	PF00378	Enoyl-CoA hydratase/isomerase	14	13
Pfam	PF01433	Peptidase family M1 domain	14	13
ProSiteProfiles	PS50118	HMG boxes A and B DNA-binding domains profile.	14	13
CDD	cd00077	HDc	13	13
CDD	cd02257	Peptidase_C19	13	13
CDD	cd06558	crotonase-like	13	13
CDD	cd18186	BTB_POZ_ZBTB_KLHL-like	13	13
CDD	cd18791	SF2_C_RHA	13	13
CDD	cd23659	USP_At3g01520-like	13	13
Gene3D	G3DSA:1.10.287.370		13	13
Gene3D	G3DSA:1.10.600.10	Farnesyl Diphosphate Synthase	13	13
Gene3D	G3DSA:1.20.120.720	Myosin VI head, motor domain, U50 subdomain	13	13
Gene3D	G3DSA:2.60.120.620	q2cbj1_9rhob like domain	13	13
Gene3D	G3DSA:3.30.2410.10	Hect, E3 ligase catalytic domain	13	13
Gene3D	G3DSA:3.30.300.30		13	13
Gene3D	G3DSA:3.30.460.10	Beta Polymerase, domain 2	13	13
Gene3D	G3DSA:3.40.50.20		13	13
Gene3D	G3DSA:3.90.1750.10	Hect, E3 ligase catalytic domains	13	13
Gene3D	G3DSA:3.90.230.10	Creatinase/methionine aminopeptidase superfamily	13	13
PANTHER	PTHR11472	DNA REPAIR DEAD HELICASE RAD3/XP-D SUBFAMILY MEMBER	13	13
PANTHER	PTHR15615		13	13
PANTHER	PTHR19370	NADH-CYTOCHROME B5 REDUCTASE	13	13
PANTHER	PTHR19848	WD40 REPEAT PROTEIN	13	13
PANTHER	PTHR22847	WD40 REPEAT PROTEIN	13	13
PANTHER	PTHR23113	GUANINE NUCLEOTIDE EXCHANGE FACTOR	13	13
PANTHER	PTHR43243	INNER MEMBRANE TRANSPORTER YGJI-RELATED	13	13
PANTHER	PTHR44329	SERINE/THREONINE-PROTEIN KINASE TNNI3K-RELATED	13	13
PANTHER	PTHR45725	FORMIN HOMOLOGY 2 FAMILY MEMBER	13	13
PANTHER	PTHR45856	ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN	13	13
PANTHER	PTHR48041	ABC TRANSPORTER G FAMILY MEMBER 28	13	13
Pfam	PF00107	Zinc-binding dehydrogenase	13	13
Pfam	PF00266	Aminotransferase class-V	13	13
Pfam	PF00617	RasGEF domain	13	13
Pfam	PF00755	Choline/Carnitine o-acyltransferase	13	13
Pfam	PF01399	PCI domain	13	13
Pfam	PF04646	Protein of unknown function, DUF604	13	13
Pfam	PF06280	Fn3-like domain	13	13
Pfam	PF10294	Lysine methyltransferase	13	13
ProSiteProfiles	PS50051	MCM family domain profile.	13	13
ProSiteProfiles	PS50190	SEC7 domain profile.	13	13
ProSiteProfiles	PS50192	t-SNARE coiled-coil homology domain profile.	13	13
ProSiteProfiles	PS51273	Glutamine amidotransferase type 1 domain profile.	13	13
ProSiteProfiles	PS51420	small GTPase Rho family profile.	13	13
ProSiteProfiles	PS51746	PPM-type phosphatase domain profile.	13	13
ProSiteProfiles	PS51910	Glycosyl hydrolases family 18 (GH18) domain profile.	13	13
SMART	SM00156	pp2a_7	13	13
SMART	SM00338	brlzneu	13	13
SMART	SM00577	forpap2	13	13
SMART	SM00829	PKS_ER_names_mod	13	13
SUPERFAMILY	SSF51230	Single hybrid motif	13	13
SUPERFAMILY	SSF52129	Caspase-like	13	13
SUPERFAMILY	SSF54518	Tubby C-terminal domain-like	13	13
PRINTS	PR01657	Mini-chromosome maintenance (MCM) protein family signature	47	12
PRINTS	PR00765	Carboxypeptidase A metalloprotease (M14) family signature	44	12
PRINTS	PR00452	SH3 domain signature	43	12
PRINTS	PR00328	GTP-binding SAR1 protein signature	42	12
SMART	SM00547	zf_4	34	12
Pfam	PF00641	Zn-finger in Ran binding protein and others	31	12
Pfam	PF00013	KH domain	24	12
SMART	SM00297	bromo_6	24	12
Gene3D	G3DSA:2.60.260.20		20	12
SUPERFAMILY	SSF49493	HSP40/DnaJ peptide-binding domain	20	12
SUPERFAMILY	SSF55021	ACT-like	19	12
Pfam	PF04193	PQ loop repeat	18	12
ProSiteProfiles	PS50021	Calponin homology (CH) domain profile.	18	12
SMART	SM00679	ctns	18	12
ProSiteProfiles	PS50020	WW/rsp5/WWP domain profile.	16	12
Gene3D	G3DSA:1.25.40.180		15	12
Pfam	PF00503	G-protein alpha subunit	15	12
Pfam	PF13181	Tetratricopeptide repeat	15	12
CDD	cd00202	ZnF_GATA	14	12
FunFam	G3DSA:3.40.50.300:FF:000692	Guanine nucleotide-binding protein subunit alpha	14	12
Gene3D	G3DSA:1.10.1000.11		14	12
Gene3D	G3DSA:3.20.70.20		14	12
Gene3D	G3DSA:3.50.30.30		14	12
Pfam	PF00320	GATA zinc finger	14	12
Pfam	PF13637	Ankyrin repeats (many copies)	14	12
SUPERFAMILY	SSF48208	Six-hairpin glycosidases	14	12
SUPERFAMILY	SSF53927	Cytidine deaminase-like	14	12
SUPERFAMILY	SSF54637	Thioesterase/thiol ester dehydrase-isomerase	14	12
CDD	cd07389	MPP_PhoD	13	12
Gene3D	G3DSA:3.30.1010.10		13	12
Pfam	PF00152	tRNA synthetases class II (D, K and N)	13	12
Pfam	PF00704	Glycosyl hydrolases family 18	13	12
Pfam	PF08613	Cyclin	13	12
Pfam	PF14604	Variant SH3 domain	13	12
ProSiteProfiles	PS51882	G-alpha domain profile.	13	12
SUPERFAMILY	SSF47895	Transducin (alpha subunit), insertion domain	13	12
SUPERFAMILY	SSF48256	Citrate synthase	13	12
SUPERFAMILY	SSF50993	Peptidase/esterase 'gauge' domain	13	12
SUPERFAMILY	SSF69593	Glycerol-3-phosphate (1)-acyltransferase	13	12
CDD	cd00024	CD_CSD	12	12
CDD	cd00086	homeodomain	12	12
FunFam	G3DSA:1.10.287.2620:FF:000002	Dynein heavy chain 2, axonemal	12	12
Gene3D	G3DSA:1.10.1410.10		12	12
Gene3D	G3DSA:1.10.150.50		12	12
Gene3D	G3DSA:1.20.870.10	Son of sevenless (SoS) protein Chain: S domain 1	12	12
Gene3D	G3DSA:2.30.30.140		12	12
Gene3D	G3DSA:3.30.1330.20		12	12
Gene3D	G3DSA:3.30.1490.20		12	12
Gene3D	G3DSA:3.30.70.240		12	12
PANTHER	PTHR10218	GTP-BINDING PROTEIN ALPHA SUBUNIT	12	12
PANTHER	PTHR10799	SNF2/RAD54 HELICASE FAMILY	12	12
PANTHER	PTHR10982	MALONYL COA-ACYL CARRIER PROTEIN TRANSACYLASE	12	12
PANTHER	PTHR12442	DYNEIN INTERMEDIATE CHAIN	12	12
PANTHER	PTHR13693	CLASS II AMINOTRANSFERASE/8-AMINO-7-OXONONANOATE SYNTHASE	12	12
PANTHER	PTHR19302	GAMMA TUBULIN COMPLEX PROTEIN	12	12
PANTHER	PTHR22589	CARNITINE O-ACYLTRANSFERASE	12	12
PANTHER	PTHR23073	26S PROTEASOME REGULATORY SUBUNIT	12	12
PANTHER	PTHR23512	MAJOR FACILITATOR SUPERFAMILY DOMAIN-CONTAINING PROTEIN 1	12	12
PANTHER	PTHR24347	SERINE/THREONINE-PROTEIN KINASE	12	12
PANTHER	PTHR43272	LONG-CHAIN-FATTY-ACID--COA LIGASE	12	12
PANTHER	PTHR45339	HYBRID SIGNAL TRANSDUCTION HISTIDINE KINASE J	12	12
PANTHER	PTHR47219	RAB GTPASE-ACTIVATING PROTEIN 1-LIKE	12	12
PANTHER	PTHR47959	ATP-DEPENDENT RNA HELICASE RHLE-RELATED	12	12
Pfam	PF00117	Glutamine amidotransferase class-I	12	12
Pfam	PF00125	Core histone H2A/H2B/H3/H4 domain	12	12
Pfam	PF00134	Cyclin, N-terminal domain	12	12
Pfam	PF00291	Pyridoxal-phosphate dependent enzyme	12	12
Pfam	PF00505	HMG (high mobility group) box	12	12
Pfam	PF00787	PX domain	12	12
Pfam	PF01207	Dihydrouridine synthase (Dus)	12	12
Pfam	PF01237	Oxysterol-binding protein	12	12
Pfam	PF01432	Peptidase family M3	12	12
Pfam	PF01522	Polysaccharide deacetylase	12	12
